20240811	20:27:41	baa1185c-09e2-4e32-b7fe-ce598614ec76	GET	undefined	/login
20240811	20:27:42	f1f33a5d-74ed-43f1-9f35-1a190c6aa630	GET	undefined	/favicon.ico
20240811	20:27:42	1906b7a4-3ea0-4c5e-b917-f44288ac8fce	GET	undefined	/login
20240811	20:27:42	5aae72a0-10e5-48b0-a686-bb11b437ba90	GET	undefined	/favicon.ico
20240811	20:28:56	e9771eb6-3f6d-4d45-93d3-5258971f01c5	POST	undefined	/auth
20240811	20:29:00	1dd79d87-2f2f-4f25-a1bc-ba42ae32b5d4	GET	undefined	/login
20240811	20:29:00	06b80879-0418-4c43-8178-87c8a317124e	GET	undefined	/favicon.ico
20240811	20:29:01	d69d08d0-1ac1-42a2-a989-99f8ac7740e4	GET	undefined	/login
20240811	20:29:01	852cb754-a9f0-4363-8f5b-424896b298f6	GET	undefined	/favicon.ico
20240811	20:33:44	bb5c7d2d-8418-4876-9dbf-504ebd6e0a17	GET	undefined	/login
20240811	20:38:49	0f8c39ee-ca92-41d7-a3e3-2553d195005e	GET	undefined	/index
20240811	20:38:49	99d3b3fb-5aea-4615-870d-c461bd4e0a45	GET	undefined	/login
20240811	20:38:49	db319a0f-4004-4f0d-9e96-db36aabe38c1	GET	undefined	/login
20240811	20:38:49	35733aaf-3f3d-471b-8ef5-1d2467979fbc	GET	undefined	/css/style.css
20240811	20:38:52	dbcc0c33-207f-401e-b342-a6fbb700952f	GET	undefined	/favicon.ico
20240811	20:38:52	7a5fb3ad-0242-41f3-912d-7098d06980df	GET	undefined	/favicon.ico
20240811	20:42:47	3d3fa04f-a9ed-474d-b4f0-fe7d8e8c63bd	GET	undefined	/login
20240811	20:43:29	ecc03a05-322c-4f42-a36b-dca7844a971d	GET	undefined	/login
20240811	20:43:29	8efe9467-b3e5-412b-81a2-8fee28729366	GET	undefined	/favicon.ico
20240811	20:43:40	6f163cf0-caf5-41c3-b5bf-cf6090515b04	GET	undefined	/login
20240811	20:43:40	52793f25-4bb8-48d6-aaf5-11d80912c7c1	GET	undefined	/css/style.css
